# Trait Facts Menue-Prueflauf, Mess-Mod 6.40.4, Trait Facts 0.12.12, Spiel 42.20.4 b0bbce05d5
# klick|art|id|urteil|was; zufall|nr|urteil|code|was; tooltip|liste|id|breite|hoehe|urteil; pruef|name|urteil|was
klick|trait|toadtraits:blunttwirl|ok|
klick|trait|toadtraits:tinkerer|ok|
klick|trait|toadtraits:antique|ok|
klick|trait|base:blacksmith|ok|
klick|trait|base:brawler|ok|
klick|trait|toadtraits:fast|ok|
klick|trait|base:fasthealer|ok|
klick|trait|base:fastlearner|ok|
klick|trait|base:fit|ok|
klick|trait|base:formerscout|ok|
klick|trait|toadtraits:gordanite|ok|
klick|trait|toadtraits:hardy|ok|
klick|trait|base:keenhearing|ok|
klick|trait|toadtraits:restfulsleeper|ok|
klick|trait|base:stout|ok|
klick|trait|toadtraits:unwavering|ok|
klick|trait|toadtraits:batteringram|ok|
klick|trait|toadtraits:graverobber|ok|
klick|trait|toadtraits:packmule|ok|
klick|trait|toadtraits:problade|ok|
klick|trait|toadtraits:problunt|ok|
klick|trait|toadtraits:progun|ok|
klick|trait|toadtraits:prospear|ok|
klick|trait|toadtraits:actionhero|ok|
klick|trait|base:wildernessknowledge|ok|
klick|trait|toadtraits:evasive|ok|
klick|trait|toadtraits:gunspecialist|ok|
klick|trait|base:handy|ok|
klick|trait|base:hunter|ok|
klick|trait|base:thickskinned|ok|
klick|trait|toadtraits:wildsman|ok|
klick|trait|toadtraits:ingenuitive|ok|
klick|trait|toadtraits:quickworker|ok|
klick|trait|base:athletic|ok|
klick|trait|toadtraits:indefatigable|ok|
klick|trait|toadtraits:secondwind|ok|
klick|trait|base:strong|ok|
klick|trait|toadtraits:superimmune|ok|
klick|trait|toadtraits:speccrafting|ok|
klick|trait|toadtraits:specaid|ok|
klick|trait|toadtraits:specfood|ok|
klick|trait|toadtraits:specguns|ok|
klick|trait|toadtraits:specmove|ok|
klick|trait|toadtraits:specweapons|ok|
klick|trait|toadtraits:terminator|ok|
klick|trait|base:sundaydriver|ok|
klick|trait|base:allthumbs|ok|
klick|trait|base:clumsy|ok|
klick|trait|base:cowardly|ok|
klick|trait|base:weightloss|ok|
klick|trait|base:highthirst|ok|
klick|trait|base:shortsighted|ok|
klick|trait|base:weightgain|ok|
klick|trait|base:slowreader|ok|
klick|trait|base:weakstomach|ok|
klick|trait|toadtraits:badteeth|ok|
klick|trait|base:slowhealer|ok|
klick|trait|base:smoker|ok|
klick|trait|base:agoraphobic|ok|
klick|trait|toadtraits:anemic|ok|
klick|trait|toadtraits:ascetic|ok|
klick|trait|base:claustrophobic|ok|
klick|trait|base:conspicuous|ok|
klick|trait|toadtraits:depressive|ok|
klick|trait|base:hardofhearing|ok|
klick|trait|base:heartyappetite|ok|
klick|trait|toadtraits:injured|ok|
klick|trait|toadtraits:paranoia|ok|
klick|trait|base:pronetoillness|ok|
klick|trait|toadtraits:selfdestructive|ok|
klick|trait|base:needsmoresleep|ok|
klick|trait|toadtraits:unlucky|ok|
klick|trait|base:hemophobic|ok|
klick|trait|base:pacifist|ok|
klick|trait|base:asthmatic|ok|
klick|trait|toadtraits:poordriver|ok|
klick|trait|toadtraits:albino|ok|
klick|trait|toadtraits:antigun|ok|
klick|trait|toadtraits:deprived|ok|
klick|trait|base:disorganized|ok|
klick|trait|toadtraits:noodlelegs|ok|
klick|trait|base:outofshape|ok|
klick|trait|base:insomniac|ok|
klick|trait|base:slowlearner|ok|
klick|trait|toadtraits:gimp|ok|
klick|trait|base:feeble|ok|
klick|trait|toadtraits:fearful|ok|
klick|trait|toadtraits:packmouse|ok|
