# Schubsen: welcher Taumel nach einem Stoss, ohne Trait, mit Strong und mit Weak (Puny)
# Mess-Mod 6.50.0
# Build 42.20
# Stoss aus Lua: setDoShove(true), AttemptAttack(); Haende leer, Strength 5, Abstand 0.700, Ausdauer 1, Panik/Stress/Muedigkeit 0 vor jedem Stoss
# Zombie useless, Zombies greifen nicht an; kritische Stoesse zurueckgenommen (OnWeaponSwingHitPoint), gezaehlt in krit_wurf
# gelesen: damageSplit und Abstand beim Treffer (OnWeaponHitCharacter), getHitForce im Tick danach,
#   Knoten/Clip aus getAnimationDebug, Aktionszustand, groesster Weg in 150 Ticks
# laut Code: hitforce > 0.4 -> fromFront Zombie_ShoveStagger_2m, < 0.4 -> smallFromFront Zombie_StaggerBack;
#   von hinten beide Zombie_PushedFwd_FromBehind (AnimSets/zombie/staggerback);
#   hitforce = min(1, damageSplit x rangeDel x 1.5 / 2.7 x ShovingMod) x 1.4 Strong / x 0.6 Weak
#   (IsoGameCharacter.java:5701-5703, 5758-5788; CombatManager.java:789-833)
# erwartet_lang = Mittel je Stoss des Anteils ueber 0.4 bei gleichverteiltem Schadenswurf 0.2..0.4; urteil: |anteil - erwartet| <= 2 sigma + 0.05
# Stoesse ohne Treffer: 0; Zombies gesetzt: 1; Stellfehler: 0

[ergebnis]
ergebnis|stoesse=110|schwelle_stimmt=110|schwelle_n=110|kraft_stimmt=110|kraft_n=110|seite_anders=0

[faelle] fall|seite|stoesse|lang|kurz|umgeworfen|anderes|anteil_lang|erwartet_lang|urteil|hitforce_mittel|hitforce_min|hitforce_max|weg_lang_m|weg_kurz_m|krit_wurf|clips
stoss|18|ohne|hinten|0.661|0.101|0.068|0.068|0.267-0.534|0.503|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.402|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|19|ohne|hinten|0.669|0.086|0.058|0.058|0.270-0.541|0.520|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.404|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|20|ohne|hinten|0.666|0.096|0.065|0.065|0.269-0.538|0.514|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.401|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|21|strong|hinten|0.663|0.583|0.547|0.547|0.375-0.750|0.934|BEHIND|frombehind|Zombie_PushedFwd_FromBehind|lang|lang|0.398|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|22|strong|hinten|0.663|0.106|0.099|0.099|0.375-0.750|0.934|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.404|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|23|strong|hinten|0.667|0.146|0.138|0.138|0.377-0.755|0.940|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.399|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|24|strong|hinten|0.668|0.121|0.114|0.114|0.378-0.756|0.941|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.400|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|25|strong|hinten|0.660|0.102|0.095|0.095|0.373-0.747|0.929|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.402|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|26|ohne|vorn|0.660|0.672|0.448|0.448|0.267-0.533|0.500|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.839|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
stoss|27|ohne|vorn|0.666|0.528|0.355|0.355|0.269-0.538|0.514|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.820|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle
