[faelle] fall|seite|stoesse|lang|kurz|umgeworfen|anderes|anteil_lang|erwartet_lang|urteil|hitforce_mittel|hitforce_min|hitforce_max|weg_lang_m|weg_kurz_m|krit_wurf|clips|erwartet_ohne_kleidung|taumel_ticks_lang|taumel_ticks_kurz
stoss|74|strong|vorn|0.661|0.693|0.648|0.648|0.168-0.748|0.422|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.660|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.660|81|0.00,0.00,0.03,0.10,0.21,0.34,0.46,0.56,0.66
stoss|75|strong|vorn|0.658|0.533|0.496|0.496|0.168-0.745|0.420|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.658|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.926|0.658|80|0.00,0.00,0.03,0.10,0.21,0.33,0.45,0.56,0.66
stoss|76|weak|vorn|0.667|0.353|0.143|0.143|0.073-0.323|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.592|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.592|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|77|weak|vorn|0.661|0.472|0.189|0.189|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.592|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.592|81|0.00,0.00,0.03,0.08,0.17,0.27,0.38,0.48,0.58
stoss|78|weak|vorn|0.662|0.261|0.105|0.105|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.593|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.593|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.48,0.59
stoss|79|weak|vorn|0.665|0.766|0.309|0.309|0.073-0.322|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.596|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.596|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.49,0.59
stoss|80|weak|vorn|0.662|0.300|0.121|0.121|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.596|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.596|81|0.00,0.00,0.03,0.08,0.17,0.27,0.38,0.48,0.59
stoss|81|ohne|vorn|0.665|0.700|0.470|0.470|0.121-0.537|0.196|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.661|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.511|0.661|81|0.00,0.00,0.03,0.10,0.21,0.34,0.46,0.56,0.66
stoss|82|ohne|vorn|0.664|0.212|0.142|0.142|0.121-0.537|0.195|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.594|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.509|0.594|81|0.00,0.00,0.03,0.08,0.17,0.27,0.38,0.49,0.59
stoss|83|ohne|vorn|0.662|0.207|0.139|0.139|0.120-0.535|0.192|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.505|0.590|80|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.49,0.59
stoss|84|ohne|vorn|0.665|0.331|0.222|0.222|0.121-0.537|0.196|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.511|0.590|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|85|ohne|vorn|0.662|0.427|0.286|0.286|0.120-0.535|0.192|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.582|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.505|0.582|80|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|86|strong|vorn|0.661|0.283|0.265|0.265|0.168-0.748|0.422|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.591|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|87|strong|vorn|0.659|0.297|0.277|0.277|0.168-0.746|0.421|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.589|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.927|0.589|81|0.00,0.00,0.02,0.08,0.16,0.27,0.37,0.48,0.58
stoss|88|strong|vorn|0.662|0.534|0.500|0.500|0.169-0.749|0.423|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.661|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.932|0.661|81|0.00,0.00,0.03,0.10,0.21,0.33,0.45,0.56,0.66
stoss|89|strong|vorn|0.662|0.706|0.661|0.661|0.169-0.749|0.423|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.660|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.932|0.660|81|0.00,0.00,0.03,0.10,0.21,0.34,0.46,0.56,0.66
stoss|90|strong|vorn|0.664|0.255|0.239|0.239|0.169-0.751|0.425|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.935|0.590|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|91|weak|vorn|0.662|0.304|0.122|0.122|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.595|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.48,0.59
stoss|92|weak|vorn|0.662|0.204|0.082|0.082|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.590|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|93|weak|vorn|0.661|0.745|0.298|0.298|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.591|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|94|weak|vorn|0.661|0.355|0.142|0.142|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.591|78|0.00,0.00,0.02,0.08,0.19,0.30,0.40,0.51
stoss|95|weak|vorn|0.663|0.523|0.210|0.210|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.585|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.585|80|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|96|ohne|vorn|0.661|0.355|0.237|0.237|0.120-0.534|0.191|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.503|0.590|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|97|ohne|vorn|0.659|0.333|0.222|0.222|0.120-0.533|0.189|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.498|0.590|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|98|ohne|vorn|0.661|0.239|0.160|0.160|0.120-0.534|0.191|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.592|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.503|0.592|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|99|ohne|vorn|0.661|0.277|0.185|0.185|0.120-0.534|0.191|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.503|0.591|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|100|ohne|vorn|0.666|0.704|0.474|0.474|0.121-0.538|0.197|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.660|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.514|0.660|81|0.00,0.00,0.03,0.10,0.21,0.34,0.46,0.56,0.66
stoss|101|strong|vorn|0.661|0.616|0.575|0.575|0.168-0.748|0.422|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.657|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.657|81|0.00,0.00,0.03,0.10,0.21,0.33,0.45,0.56,0.65
stoss|102|strong|vorn|0.665|0.485|0.456|0.456|0.169-0.752|0.426|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.661|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.937|0.661|81|0.00,0.00,0.03,0.10,0.21,0.33,0.46,0.56,0.66
stoss|103|strong|vorn|0.660|0.274|0.256|0.256|0.168-0.747|0.421|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.929|0.591|81|0.00,0.00,0.02,0.08,0.17,0.27,0.37,0.48,0.58
stoss|104|strong|vorn|0.661|0.531|0.496|0.496|0.168-0.748|0.422|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.656|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.656|81|0.00,0.00,0.03,0.10,0.21,0.34,0.45,0.56,0.65
stoss|105|strong|vorn|0.661|0.322|0.301|0.301|0.168-0.748|0.422|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.596|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.596|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.49,0.59
stoss|106|weak|vorn|0.662|0.464|0.186|0.186|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.595|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.49,0.59
stoss|107|weak|vorn|0.660|0.299|0.119|0.119|0.072-0.320|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.589|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.589|81|0.00,0.00,0.03,0.08,0.17,0.27,0.37,0.48,0.58
stoss|108|weak|vorn|0.661|0.355|0.142|0.142|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.595|80|0.00,0.00,0.03,0.09,0.18,0.28,0.38,0.49,0.59
stoss|109|weak|vorn|0.665|0.199|0.080|0.080|0.073-0.322|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.595|77|0.00,0.00,0.05,0.12,0.21,0.31,0.42,0.53
stoss|110|weak|vorn|0.660|0.324|0.129|0.129|0.072-0.320|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.592|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.592|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.48,0.58
