[faelle] fall|seite|stoesse|lang|kurz|umgeworfen|anderes|anteil_lang|erwartet_lang|urteil|hitforce_mittel|hitforce_min|hitforce_max|weg_lang_m|weg_kurz_m|krit_wurf|clips|erwartet_ohne_kleidung|taumel_ticks_lang|taumel_ticks_kurz
stoss|13|weak|vorn|0.662|0.609|0.245|0.245|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.594|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.594|81|0.00,0.00,0.03,0.08,0.17,0.27,0.37,0.48,0.59
stoss|14|weak|vorn|0.665|0.313|0.126|0.126|0.073-0.322|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.586|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.586|76|0.00,0.00,0.03,0.08,0.17,0.27,0.39,0.52
stoss|15|weak|vorn|0.663|0.280|0.113|0.113|0.072-0.321|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.594|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.594|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.48,0.59
stoss|16|ohne|hinten|0.661|0.238|0.159|0.159|0.120-0.534|0.191|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.399|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.503|0.399|80|0.00,0.00,0.02,0.08,0.17,0.26,0.36,0.40,0.40
stoss|17|ohne|hinten|0.667|0.323|0.218|0.218|0.121-0.539|0.198|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.401|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.516|0.401|80|0.00,0.00,0.03,0.09,0.17,0.27,0.37,0.40,0.40
stoss|18|ohne|hinten|0.665|0.417|0.280|0.280|0.121-0.537|0.196|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.403|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.511|0.403|78|0.00,0.00,0.03,0.10,0.19,0.28,0.39,0.40
stoss|19|ohne|hinten|0.660|0.394|0.262|0.262|0.120-0.533|0.190|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.404|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.500|0.404|81|0.00,0.00,0.02,0.08,0.16,0.26,0.35,0.40,0.40
stoss|20|ohne|hinten|0.662|0.282|0.189|0.189|0.120-0.535|0.192|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.401|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.505|0.401|81|0.00,0.00,0.02,0.08,0.16,0.26,0.35,0.40,0.40
stoss|21|strong|hinten|0.667|0.358|0.338|0.338|0.170-0.755|0.427|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.401|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.940|0.401|80|0.00,0.00,0.02,0.09,0.17,0.26,0.37,0.40,0.40
stoss|22|strong|hinten|0.666|0.228|0.215|0.215|0.170-0.753|0.427|BEHIND|smallfrombehind|Zombie_PushedFwd_FromBehind|kurz|kurz|0.398|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.938|0.398|77|0.00,0.00,0.03,0.08,0.16,0.26,0.36,0.40
stoss|23|strong|hinten|0.664|0.462|0.434|0.434|0.169-0.751|0.425|BEHIND|frombehind|Zombie_PushedFwd_FromBehind|lang|lang|0.401|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.935|0.401|64|0.00,0.01,0.05,0.16,0.29,0.40,0.40
stoss|24|strong|hinten|0.661|0.547|0.512|0.512|0.168-0.748|0.422|BEHIND|frombehind|Zombie_PushedFwd_FromBehind|lang|lang|0.403|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.403|69|0.00,0.00,0.02,0.08,0.17,0.33,0.40
