# Fenster aufbrechen: Runner (jogger) und Burglar am verriegelten Fenster
# Mess-Mod 6.51.0
# Build 42.20
# gespielt, nicht aufgerufen: OpenWindowState.onAttemptFinished ist privat und nur ueber AnimEvent erreichbar
# Fenster 10826,9436,0 W, Strength 5, Fitness 5, Alarm keiner
# Schalter beim Start: isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# Schalter am Ende:   isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# verglichen mit soll_mod (TF_Static), sonst soll_code; Toleranz je Zeile in der Notiz
# aus den Versuchen: je Fenster 45.0 % ohne, 22.5 % mit Burglar

[ergebnis]
ergebnis|werte=8|stimmen=8|weichen_ab=0|nicht_messbar=0|verworfen=0

[werte] id|trait|ohne|mit|faktor|soll_mod|soll_code|urteil|notiz
wert|normal|jogger|0.0000|0.0000|0.0000|-|0.0000|stimmt|Verlust je Oeffnen und Schliessen, faktor = der groessere; Abzuege ueber 0.001: 0 ohne, 0 mit Runner (soll 0)
wert|aufbrechen|jogger|0.0060|0.0054|0.9000|0.9000|0.9000|stimmt|Abzug je Versuch, 180 Versuche ohne, 46 mit Runner
wert|aufbrechen_abzug|ohne|0.0060|-|0.0060|-|0.0060|stimmt|Abzug je Versuch bei Fitness 5, Toleranz 5 %
wert|fensterklemmt|ohne|45.0000|-|45.0000|49.0000|48.9996|stimmt|Prozent der Fenster, die klemmen: 18 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|fensterklemmt|burglar|-|22.5000|22.5000|31.0000|31.2763|stimmt|Prozent der Fenster, die klemmen: 9 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|versuchklemmt|burglar|10.0000|3.9823|0.3982|-|0.5000|stimmt|Prozent Klemmen je Versuch, 180 und 226 Versuche (soll 10 und 5, Z. 163-168); Toleranz 2 Standardfehler
wert|versuchauf|ohne|13.5802|-|13.5802|-|11.5648|stimmt|Prozent Oeffnen je nicht klemmendem Versuch, 162 Versuche (Z. 177-188)
wert|versuchauf|burglar|-|14.2857|14.2857|-|11.5648|stimmt|dasselbe mit Burglar, 217 Versuche; Burglar aendert s nicht

[durchgaenge] nr|art|fall|ergebnis|ausgang|gilt|versuche|ticks|regen_je_tick|verlust|abzuege
durchgang|38|ringen|jogger|klemmt|fertig|1|21|2078|0.0000000|0.11340|0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540,0.00540
durchgang|39|ringen|ohne|klemmt|fertig|1|1|143|0.0000000|0.00600|0.00600
durchgang|40|ringen|burglar|auf|fertig|1|10|1115|0.0000000|0.06000|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|41|ringen|ohne|auf|fertig|1|2|407|0.0000000|0.01200|0.00600,0.00600
durchgang|42|ringen|burglar|auf|fertig|1|7|845|0.0000000|0.04200|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|43|ringen|ohne|klemmt|fertig|1|1|150|0.0000000|0.00600|0.00600
durchgang|44|ringen|burglar|klemmt|fertig|1|1|152|0.0000000|0.00600|0.00600
durchgang|45|ringen|ohne|klemmt|fertig|1|5|513|0.0000000|0.03000|0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|46|ringen|burglar|auf|fertig|1|1|307|0.0000000|0.00600|0.00600
durchgang|47|ringen|ohne|auf|fertig|1|9|1091|0.0000000|0.05400|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|48|ringen|burglar|klemmt|fertig|1|1|107|0.0000000|0.00600|0.00600
durchgang|49|ringen|ohne|auf|fertig|1|4|605|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|50|ringen|burglar|auf|fertig|1|3|501|0.0000000|0.01800|0.00600,0.00600,0.00600
durchgang|51|ringen|ohne|auf|fertig|1|4|589|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|52|ringen|burglar|auf|fertig|1|6|788|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|53|ringen|ohne|auf|fertig|1|9|962|0.0000000|0.05400|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|54|ringen|burglar|auf|fertig|1|2|379|0.0000000|0.01200|0.00600,0.00600
durchgang|55|ringen|ohne|klemmt|fertig|1|6|605|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|56|ringen|burglar|auf|fertig|1|10|1148|0.0000000|0.06000|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|57|ringen|ohne|klemmt|fertig|1|1|152|0.0000000|0.00600|0.00600
durchgang|58|ringen|burglar|klemmt|fertig|1|15|1537|0.0000000|0.09000|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|59|ringen|ohne|auf|fertig|1|6|804|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|60|ringen|burglar|auf|fertig|1|1|311|0.0000000|0.00600|0.00600
durchgang|61|ringen|ohne|auf|fertig|1|4|607|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|62|ringen|burglar|auf|fertig|1|2|410|0.0000000|0.01200|0.00600,0.00600
